Title,Author,Genre,Status,HoldStatus,DueDate,CallNumber,Synopsis
To Kill a Mockingbird,Harper Lee,Southern Gothic,TRUE,FALSE,1/1/0001 12:00:00 AM,FICLEE,"To Kill a Mockingbird takes place in the fictional town of Maycomb, Alabama, during the Great Depression. The protagonist is Jean Louise Finch, an intelligent though unconventional girl who ages from six to nine years old during the course of the novel."
Nineteen Eighty-Four,George Orwell,Dystopian,TRUE,FALSE,1/1/0001 12:00:00 AM,FICORW,A man loses his identity while living under a repressive regime.
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,TRUE,FALSE,1/1/0001 12:00:00 AM,FICROW,"A boy who learns on his eleventh birthday that he is the orphaned son of two powerful wizards and possesses unique magical powers of his own. He is summoned from his life as an unwanted child to become a student at Hogwarts, an English boarding school for wizards."
The Lord of the Rings,J.R.R. Tolkien,Fantasy,TRUE,FALSE,1/1/0001 12:00:00 AM,FICTOL,"A Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron. An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo."
Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,TRUE,FALSE,1/1/0001 12:00:00 AM,FICCAR,"A story about Alice who falls down a rabbit hole and lands into a fantasy world that is full of weird, wonderful people and animals."
Adventures of Huckleberry Finn,Mark Twain,Picaresque,TRUE,FALSE,1/1/0001 12:00:00 AM,FICTWA,"A young boy, Huck, in search of freedom and adventure on the shores of the Mississippi River."
Wuthering Heights,Emily Bronte,Tragedy Gothic,TRUE,FALSE,1/1/0001 12:00:00 AM,FICBRO,"A tempestuous romance between Heathcliff, an orphan who is taken home to Wuthering Heights on impulse, and Catherine Earnshaw, a strong-willed girl whose mother died delivering her and who becomes Heathcliff's close companion."
The Hitchhikers Guide to the Galaxy,Douglas Adams,Comic Science Fiction,TRUE,FALSE,1/1/0001 12:00:00 AM,FICADA,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of The Hitchhiker's Guide to the Galaxy."
Lord of the Flies,William Golding,Allegorical novel,TRUE,FALSE,1/1/0001 12:00:00 AM,FICGOL,"A plane carrying a group of British schoolboys is shot down over the Pacific. The pilot of the plane is killed, but many of the boys survive the crash and find themselves deserted on an uninhabited island, where they are alone without adult supervision"
"The Lion, the Witch, and the Wardrobe",C.S. Lewis,Fantasy,TRUE,FALSE,1/1/0001 12:00:00 AM,FICLEW,"One day Lucy and her siblings finds a wardrobe that transports her to a magical world called Narnia. There they join the magical lion, Aslan, in the fight against the evil White Witch."
Clifford the Big Red Dog,Norman Bridwell,Children,FALSE,FALSE,5/27/2019 8:30,FICBRI,"Clifford, the big red dog story and pictures by Norman Bridwell. Emily Elizabeth describes the activities she enjoys with her very big, very red dog and how they take care of each other. Clifford is the biggest, reddest dog on Emily Elizabeth's street. and he makes a perfect watchdog!"
Wizard's First Rule,Terry Goodkind,Fantasy,TRUE,FALSE,1/1/0001 12:00:00 AM,FICGOO,"The quest story of young Richard Cypher, who must find three magic boxes mentioned in a secret book of his father's. If he does not, the evil lord Darken Rahl will gain power over the living and the underworld, plunging the world into a reign of terror."
